iter	Passed	Remaining
0	136	136433
1	137	68465
2	137	45813
3	138	34469
4	139	27668
5	139	23137
6	140	19901
7	141	17496
8	141	15603
9	142	14091
10	142	12849
11	143	11812
12	143	10931
13	144	10178
14	145	9528
15	145	8957
16	146	8453
17	146	8005
18	147	7607
19	148	7252
20	148	6925
21	149	6627
22	149	6357
23	150	6107
24	150	5878
25	151	5669
26	151	5474
27	152	5291
28	153	5122
29	153	4967
30	154	4820
31	154	4682
32	155	4551
33	155	4428
34	156	4311
35	156	4200
36	157	4096
37	157	3997
38	158	3905
39	159	3819
40	159	3736
41	160	3656
42	160	3579
43	161	3511
44	162	3444
45	162	3379
46	163	3316
47	164	3258
48	164	3201
49	165	3143
50	166	3089
51	166	3037
52	167	2985
53	167	2937
54	168	2890
55	168	2844
56	169	2800
57	169	2758
58	170	2717
59	170	2678
60	171	2640
61	172	2602
62	172	2566
63	173	2531
64	173	2498
65	174	2466
66	174	2435
67	175	2404
68	175	2374
69	176	2345
70	177	2318
71	177	2290
72	178	2263
73	178	2237
74	179	2211
75	179	2187
76	180	2163
77	181	2140
78	181	2117
79	182	2095
80	182	2072
81	183	2053
82	183	2030
83	184	2011
84	185	1991
85	185	1972
86	186	1953
87	186	1935
88	187	1916
89	187	1898
90	188	1881
91	188	1864
92	189	1849
93	190	1833
94	190	1816
95	191	1800
96	191	1785
97	192	1770
98	192	1755
99	193	1743
100	194	1729
101	194	1715
102	195	1702
103	196	1689
104	196	1676
105	197	1663
106	197	1650
107	198	1637
108	198	1625
109	199	1613
110	199	1601
111	200	1589
112	200	1577
113	201	1566
114	202	1555
115	202	1545
116	203	1534
117	203	1523
118	204	1513
119	204	1502
120	205	1492
121	205	1481
122	206	1471
123	206	1462
124	207	1452
125	208	1443
126	208	1433
127	209	1424
128	209	1415
129	210	1407
130	210	1397
131	211	1389
132	211	1381
133	212	1373
134	213	1364
135	213	1356
136	214	1348
137	214	1341
138	215	1333
139	215	1326
140	216	1319
141	217	1311
142	217	1304
143	218	1297
144	218	1290
145	219	1282
146	219	1275
147	220	1269
148	221	1263
149	221	1256
150	222	1249
151	222	1243
152	223	1236
153	223	1229
154	224	1223
155	224	1216
156	225	1210
157	225	1204
158	226	1198
159	227	1192
160	227	1185
161	228	1179
162	228	1173
163	229	1168
164	229	1162
165	230	1157
166	230	1151
167	231	1146
168	232	1140
169	232	1135
170	233	1130
171	233	1125
172	234	1120
173	234	1115
174	235	1109
175	235	1104
176	236	1099
177	237	1094
178	237	1089
179	238	1084
180	238	1080
181	239	1076
182	240	1072
183	240	1067
184	241	1062
185	241	1057
186	242	1053
187	242	1048
188	243	1043
189	243	1039
190	244	1035
191	245	1031
192	245	1026
193	246	1022
194	246	1018
195	247	1014
196	247	1010
197	248	1006
198	249	1002
199	249	998
200	250	994
201	250	990
202	251	986
203	251	982
204	252	978
205	252	974
206	253	971
207	254	967
208	254	963
209	255	959
210	255	955
211	256	952
212	256	948
213	257	945
214	257	941
215	258	939
216	259	935
217	259	932
218	260	928
219	260	925
220	261	921
221	262	918
222	262	915
223	263	911
224	263	908
225	264	905
226	264	902
227	265	899
228	266	896
229	266	892
230	267	889
231	267	886
232	268	883
233	268	879
234	269	876
235	269	873
236	270	870
237	271	868
238	271	864
239	272	862
240	272	859
241	273	856
242	273	853
243	274	850
244	275	847
245	275	844
246	276	842
247	276	839
248	277	836
249	277	833
250	278	831
251	279	828
252	279	825
253	280	822
254	280	819
255	281	817
256	281	814
257	282	811
258	282	808
259	283	806
260	283	804
261	284	801
262	285	799
263	285	796
264	286	793
265	286	791
266	287	789
267	288	787
268	288	784
269	289	782
270	289	780
271	290	777
272	291	774
273	291	772
274	292	770
275	292	767
276	293	765
277	294	763
278	294	761
279	295	759
280	296	757
281	296	755
282	297	753
283	297	751
284	298	749
285	299	746
286	299	744
287	300	743
288	301	741
289	302	740
290	303	738
291	303	736
292	304	734
293	305	733
294	305	731
295	306	729
296	307	727
297	307	725
298	308	723
299	309	721
300	310	720
301	310	718
302	311	716
303	312	714
304	312	712
305	313	710
306	313	708
307	314	705
308	315	704
309	315	703
310	316	701
311	317	699
312	317	697
313	318	696
314	319	694
315	320	692
316	320	690
317	321	689
318	322	688
319	323	686
320	323	684
321	324	683
322	325	681
323	325	679
324	326	678
325	327	677
326	329	677
327	329	676
328	330	674
329	331	672
330	331	670
331	332	669
332	333	668
333	335	668
334	335	666
335	336	665
336	337	663
337	337	661
338	338	659
339	339	658
340	339	656
341	340	654
342	341	653
343	342	652
344	342	650
345	343	649
346	344	647
347	344	645
348	345	644
349	346	643
350	347	642
351	348	641
352	349	639
353	349	638
354	350	636
355	350	634
356	351	633
357	352	631
358	353	630
359	353	629
360	354	627
361	355	626
362	355	624
363	356	622
364	357	621
365	357	619
366	358	618
367	359	617
368	360	615
369	360	614
370	361	612
371	362	611
372	362	609
373	363	607
374	363	606
375	364	605
376	365	604
377	366	602
378	366	601
379	367	599
380	367	597
381	368	596
382	369	594
383	369	593
384	370	592
385	371	591
386	372	590
387	373	589
388	374	587
389	374	586
390	375	584
391	376	583
392	377	582
393	377	581
394	378	579
395	379	578
396	379	577
397	380	575
398	381	574
399	381	572
400	382	571
401	383	570
402	383	568
403	384	567
404	385	566
405	386	564
406	386	563
407	387	561
408	387	560
409	388	559
410	389	558
411	390	556
412	391	555
413	391	554
414	392	553
415	393	552
416	394	550
417	394	549
418	395	548
419	396	547
420	396	545
421	397	544
422	398	543
423	398	541
424	399	540
425	400	539
426	400	537
427	401	536
428	402	535
429	403	534
430	403	533
431	404	532
432	405	530
433	406	529
434	406	528
435	407	527
436	408	525
437	408	524
438	409	523
439	410	521
440	410	520
441	411	519
442	411	517
443	412	516
444	413	515
445	413	514
446	414	513
447	415	511
448	416	510
449	416	509
450	417	508
451	418	506
452	418	505
453	419	504
454	420	503
455	420	502
456	421	500
457	422	499
458	423	498
459	423	497
460	424	496
461	424	494
462	425	493
463	426	492
464	426	491
465	427	490
466	428	489
467	429	488
468	430	487
469	430	485
470	431	484
471	432	483
472	432	482
473	433	481
474	434	480
475	435	478
476	435	477
477	436	476
478	436	475
479	437	473
480	437	472
481	438	471
482	439	470
483	440	469
484	440	467
485	441	466
486	441	465
487	442	464
488	443	463
489	443	461
490	444	460
491	444	459
492	445	458
493	446	457
494	447	456
495	447	455
496	448	453
497	449	452
498	449	451
499	450	450
500	450	449
501	451	447
502	452	446
503	452	445
504	453	444
505	454	443
506	454	442
507	455	440
508	455	439
509	456	438
510	457	437
511	457	436
512	458	435
513	459	434
514	459	432
515	460	431
516	460	430
517	461	429
518	461	428
519	462	426
520	463	425
521	463	424
522	464	423
523	465	422
524	465	421
525	466	420
526	466	419
527	467	417
528	467	416
529	468	415
530	469	414
531	469	413
532	470	412
533	470	411
534	471	409
535	472	408
536	472	407
537	473	406
538	473	405
539	474	404
540	475	403
541	475	401
542	476	400
543	476	399
544	477	398
545	478	397
546	478	396
547	479	395
548	479	394
549	480	393
550	481	392
551	481	390
552	482	389
553	483	388
554	483	387
555	484	386
556	485	385
557	485	384
558	486	383
559	486	382
560	487	381
561	488	380
562	488	379
563	489	378
564	490	377
565	490	376
566	491	375
567	492	374
568	492	373
569	493	372
570	493	370
571	494	369
572	494	368
573	495	367
574	496	366
575	496	365
576	497	364
577	498	363
578	498	362
579	499	361
580	500	360
581	500	359
582	501	358
583	502	357
584	502	356
585	503	355
586	503	354
587	504	353
588	505	352
589	505	351
590	506	350
591	506	349
592	507	348
593	508	347
594	508	346
595	509	345
596	510	344
597	510	343
598	511	342
599	511	341
600	512	340
601	513	339
602	513	338
603	514	337
604	514	336
605	515	335
606	515	334
607	516	332
608	516	331
609	517	330
610	518	329
611	518	328
612	519	327
613	519	326
614	520	325
615	521	324
616	521	323
617	522	322
618	522	321
619	523	320
620	524	319
621	524	318
622	525	318
623	526	317
624	527	316
625	527	315
626	528	314
627	529	313
628	529	312
629	530	311
630	531	310
631	531	309
632	532	308
633	532	307
634	533	306
635	534	305
636	534	304
637	535	303
638	535	302
639	536	301
640	536	300
641	537	299
642	538	298
643	538	297
644	539	296
645	539	295
646	540	294
647	541	294
648	541	293
649	542	292
650	543	291
651	543	290
652	544	289
653	545	288
654	546	287
655	546	286
656	547	285
657	548	284
658	548	283
659	549	283
660	550	282
661	550	281
662	551	280
663	551	279
664	552	278
665	553	277
666	554	276
667	554	275
668	555	274
669	556	273
670	556	272
671	557	272
672	557	271
673	558	270
674	559	269
675	559	268
676	560	267
677	561	266
678	561	265
679	562	264
680	562	263
681	563	262
682	564	261
683	564	260
684	565	260
685	566	259
686	566	258
687	567	257
688	567	256
689	568	255
690	569	254
691	570	253
692	571	252
693	571	252
694	572	251
695	573	250
696	573	249
697	574	248
698	574	247
699	575	246
700	576	245
701	577	244
702	577	244
703	578	243
704	579	242
705	579	241
706	580	240
707	581	239
708	581	238
709	582	237
710	583	237
711	584	236
712	584	235
713	585	234
714	586	233
715	586	232
716	587	231
717	588	231
718	588	230
719	589	229
720	590	228
721	591	227
722	592	227
723	593	226
724	593	225
725	594	224
726	594	223
727	595	222
728	596	221
729	597	220
730	598	220
731	598	219
732	599	218
733	600	217
734	601	216
735	602	215
736	603	215
737	604	214
738	604	213
739	605	212
740	606	211
741	606	210
742	607	210
743	608	209
744	609	208
745	610	207
746	610	206
747	611	206
748	612	205
749	612	204
750	613	203
751	614	202
752	615	201
753	616	201
754	617	200
755	617	199
756	618	198
757	618	197
758	619	196
759	620	195
760	620	194
761	621	194
762	622	193
763	622	192
764	623	191
765	624	190
766	624	189
767	625	188
768	626	188
769	626	187
770	627	186
771	628	185
772	629	184
773	630	184
774	630	183
775	631	182
776	631	181
777	632	180
778	633	179
779	634	178
780	634	177
781	635	177
782	635	176
783	636	175
784	637	174
785	638	173
786	639	173
787	640	172
788	641	171
789	641	170
790	642	169
791	642	168
792	643	168
793	644	167
794	644	166
795	645	165
796	646	164
797	646	163
798	647	162
799	648	162
800	648	161
801	649	160
802	650	159
803	650	158
804	651	157
805	652	157
806	653	156
807	653	155
808	654	154
809	654	153
810	655	152
811	656	151
812	656	151
813	657	150
814	658	149
815	658	148
816	659	147
817	660	146
818	660	146
819	661	145
820	662	144
821	662	143
822	663	142
823	664	141
824	664	141
825	665	140
826	666	139
827	667	138
828	667	137
829	668	136
830	669	136
831	669	135
832	670	134
833	671	133
834	672	132
835	673	132
836	673	131
837	674	130
838	675	129
839	675	128
840	676	127
841	677	127
842	678	126
843	678	125
844	679	124
845	680	123
846	680	123
847	681	122
848	682	121
849	682	120
850	683	119
851	684	118
852	685	118
853	685	117
854	686	116
855	687	115
856	687	114
857	688	113
858	689	113
859	689	112
860	690	111
861	691	110
862	691	109
863	692	108
864	692	108
865	693	107
866	694	106
867	694	105
868	695	104
869	695	103
870	696	103
871	697	102
872	697	101
873	698	100
874	698	99
875	699	99
876	700	98
877	700	97
878	701	96
879	702	95
880	702	94
881	703	94
882	703	93
883	704	92
884	704	91
885	705	90
886	706	89
887	706	89
888	707	88
889	707	87
890	708	86
891	709	85
892	709	85
893	710	84
894	710	83
895	711	82
896	712	81
897	712	80
898	713	80
899	713	79
900	714	78
901	715	77
902	715	76
903	716	76
904	716	75
905	717	74
906	717	73
907	718	72
908	719	71
909	719	71
910	720	70
911	720	69
912	721	68
913	722	67
914	722	67
915	723	66
916	723	65
917	724	64
918	725	63
919	725	63
920	726	62
921	727	61
922	727	60
923	728	59
924	728	59
925	729	58
926	730	57
927	730	56
928	731	55
929	731	55
930	732	54
931	733	53
932	733	52
933	734	51
934	735	51
935	735	50
936	736	49
937	736	48
938	737	47
939	738	47
940	738	46
941	739	45
942	740	44
943	740	43
944	741	43
945	742	42
946	742	41
947	743	40
948	743	39
949	744	39
950	745	38
951	745	37
952	746	36
953	746	36
954	747	35
955	748	34
956	748	33
957	749	32
958	750	32
959	750	31
960	751	30
961	751	29
962	752	28
963	753	28
964	753	27
965	754	26
966	755	25
967	755	24
968	756	24
969	756	23
970	757	22
971	758	21
972	758	21
973	759	20
974	759	19
975	760	18
976	761	17
977	761	17
978	762	16
979	763	15
980	763	14
981	764	14
982	764	13
983	765	12
984	766	11
985	766	10
986	767	10
987	768	9
988	768	8
989	769	7
990	769	6
991	770	6
992	771	5
993	771	4
994	772	3
995	773	3
996	773	2
997	774	1
998	774	0
999	775	0
